epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,238.392,0.45184,0.57849,1.01008,0.94794,0.89784,0.95054,0.78927,0.65553,0.65055,1.22209,0.000396265,0.000396265,0.000396265
43,244.113,0.44304,0.55146,1.00562,0.89114,0.91391,0.95906,0.75555,0.68338,0.74095,1.27492,0.000389661,0.000389661,0.000389661
44,249.64,0.44674,0.54484,1.01035,0.89765,0.90192,0.94447,0.77964,0.69942,0.67152,1.26969,0.000383058,0.000383058,0.000383058
45,255.187,0.4442,0.5278,0.98641,0.88029,0.85418,0.95513,0.79921,0.65823,0.69345,1.19838,0.000376455,0.000376455,0.000376455
46,260.753,0.44488,0.54518,1.01322,0.87289,0.84437,0.88593,0.7444,0.66076,0.85302,1.18269,0.000369851,0.000369851,0.000369851
47,266.545,0.44429,0.55512,0.99549,0.93781,0.91257,0.95668,0.79086,0.6328,0.69066,1.16063,0.000363248,0.000363248,0.000363248
48,272.74,0.42697,0.50189,1.00633,0.91849,0.90311,0.94544,0.74812,0.67275,0.68711,1.22448,0.000356645,0.000356645,0.000356645
49,278.585,0.42464,0.4827,0.98389,0.92782,0.91907,0.98795,0.79314,0.65593,0.65803,1.24521,0.000350042,0.000350042,0.000350042
50,284.414,0.43683,0.50817,0.99893,0.91078,0.93491,0.97445,0.78208,0.61409,0.57254,1.17844,0.000343438,0.000343438,0.000343438
51,290.187,0.40395,0.48659,0.98775,0.93654,0.92438,0.97618,0.79892,0.67749,0.5848,1.20698,0.000336835,0.000336835,0.000336835
52,295.96,0.4091,0.48822,0.9856,0.89657,0.89098,0.91031,0.7397,0.6647,0.59208,1.19828,0.000330232,0.000330232,0.000330232
53,301.742,0.40307,0.4725,0.99287,0.88034,0.89005,0.95602,0.79418,0.64407,0.57524,1.18647,0.000323628,0.000323628,0.000323628
54,307.566,0.39364,0.46249,0.96468,0.88871,0.86153,0.88845,0.74445,0.60043,0.71051,1.14812,0.000317025,0.000317025,0.000317025
55,313.458,0.3936,0.45482,0.98535,0.88995,0.88555,0.89212,0.71488,0.69545,0.67056,1.23493,0.000310422,0.000310422,0.000310422
