epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,392.736,0.42776,0.54842,0.98964,0.92276,0.92855,0.98182,0.78197,0.59036,0.55653,1.13601,0.000371313,0.000371313,0.000371313
43,401.402,0.41983,0.52657,0.98517,0.89593,0.90968,0.96072,0.76206,0.6477,0.58757,1.21661,0.000365125,0.000365125,0.000365125
44,410.13,0.44917,0.53851,1.00916,0.92028,0.86742,0.96046,0.76121,0.6687,0.61386,1.20222,0.000358938,0.000358938,0.000358938
45,419.843,0.41502,0.50997,0.98903,0.90684,0.9245,0.97617,0.76182,0.64382,0.58652,1.17952,0.00035275,0.00035275,0.00035275
46,428.346,0.43816,0.54094,1.00132,0.92715,0.94778,0.97872,0.8313,0.61287,0.55703,1.17202,0.000346563,0.000346563,0.000346563
47,438.124,0.41278,0.50994,0.98626,0.9585,0.95217,0.98825,0.83593,0.59635,0.46785,1.16909,0.000340375,0.000340375,0.000340375
48,446.608,0.41191,0.50109,0.98291,0.90791,0.9526,0.97119,0.79331,0.63636,0.55237,1.18408,0.000334188,0.000334188,0.000334188
49,455.111,0.41383,0.52484,0.99633,0.95994,0.92982,0.97961,0.81186,0.63157,0.52262,1.20176,0.000328,0.000328,0.000328
50,465.179,0.41507,0.48371,0.98704,0.92651,0.90546,0.98143,0.84347,0.62963,0.49496,1.18511,0.000321812,0.000321812,0.000321812
51,475.286,0.40955,0.4899,0.9837,0.84769,0.94331,0.96029,0.78463,0.7165,0.52584,1.31143,0.000315625,0.000315625,0.000315625
52,485.467,0.39811,0.49025,0.98247,0.93405,0.8612,0.96525,0.79376,0.73384,0.5083,1.34664,0.000309437,0.000309437,0.000309437
53,495.516,0.38544,0.45721,0.96425,0.90211,0.94201,0.97866,0.7652,0.62673,0.52046,1.17892,0.00030325,0.00030325,0.00030325
54,503.898,0.39235,0.46781,0.97889,0.89258,0.95455,0.97767,0.77047,0.68884,0.55276,1.23149,0.000297063,0.000297063,0.000297063
55,513.509,0.36661,0.44423,0.95532,0.94751,0.95274,0.98818,0.7983,0.65104,0.4983,1.19971,0.000290875,0.000290875,0.000290875
56,523.739,0.3973,0.45782,0.976,0.9399,0.93902,0.98485,0.80006,0.66216,0.47495,1.22957,0.000284688,0.000284688,0.000284688
57,534.319,0.38963,0.43709,0.97111,0.93647,0.94144,0.99045,0.79732,0.66547,0.45817,1.25717,0.0002785,0.0002785,0.0002785
58,543.118,0.37813,0.42405,0.9712,0.95897,0.93268,0.985,0.81867,0.60195,0.46799,1.14811,0.000272313,0.000272313,0.000272313
59,552.182,0.3765,0.44802,0.96993,0.9588,0.94901,0.98933,0.82934,0.61258,0.48147,1.14744,0.000266125,0.000266125,0.000266125
60,563.127,0.35114,0.41595,0.95149,0.8971,0.9404,0.97751,0.81663,0.71192,0.53183,1.23236,0.000259938,0.000259938,0.000259938
61,573.567,0.35989,0.42111,0.96113,0.893,0.91618,0.97446,0.79966,0.66952,0.56278,1.24271,0.00025375,0.00025375,0.00025375
62,583.465,0.35472,0.413,0.9642,0.85892,0.92285,0.96247,0.78542,0.69214,0.5727,1.23535,0.000247563,0.000247563,0.000247563
63,593.429,0.35824,0.40401,0.94978,0.96877,0.9277,0.98038,0.81635,0.62536,0.46461,1.16427,0.000241375,0.000241375,0.000241375
64,601.831,0.33753,0.39173,0.93974,0.93712,0.93522,0.97005,0.80491,0.62479,0.51536,1.17657,0.000235188,0.000235188,0.000235188
65,611.912,0.35229,0.41048,0.96591,0.90676,0.93321,0.95457,0.76693,0.64323,0.51985,1.18798,0.000229,0.000229,0.000229
66,622.325,0.34465,0.3938,0.94793,0.92874,0.90657,0.97725,0.82738,0.59629,0.53085,1.16709,0.000222813,0.000222813,0.000222813
67,632.341,0.34059,0.37892,0.95254,0.97472,0.93601,0.99282,0.84043,0.58422,0.40054,1.1643,0.000216625,0.000216625,0.000216625
68,640.979,0.35485,0.38542,0.96511,0.94757,0.92387,0.98011,0.8486,0.58589,0.46269,1.16393,0.000210437,0.000210437,0.000210437
69,651.762,0.36193,0.40453,0.96598,0.95738,0.90985,0.97587,0.82491,0.61163,0.52736,1.18955,0.00020425,0.00020425,0.00020425
70,661.658,0.34567,0.37734,0.94884,0.88674,0.90031,0.98276,0.82254,0.63225,0.5728,1.19142,0.000198063,0.000198063,0.000198063
71,670.073,0.33858,0.36785,0.94026,0.8967,0.95228,0.97896,0.83246,0.63431,0.48533,1.1836,0.000191875,0.000191875,0.000191875
72,678.662,0.32559,0.35395,0.94955,0.91893,0.95062,0.98131,0.84591,0.63134,0.46348,1.17012,0.000185688,0.000185688,0.000185688
73,696.529,0.32926,0.36323,0.94846,0.8929,0.93216,0.97376,0.84286,0.61673,0.45356,1.18663,0.0001795,0.0001795,0.0001795
74,714.857,0.32739,0.36453,0.93349,0.92441,0.89884,0.97218,0.83603,0.62393,0.49058,1.16497,0.000173313,0.000173313,0.000173313
75,730.854,0.31756,0.35344,0.93914,0.94658,0.88323,0.97546,0.84931,0.60888,0.5227,1.16658,0.000167125,0.000167125,0.000167125
76,742.509,0.3153,0.35053,0.93814,0.94301,0.9008,0.96633,0.82747,0.61472,0.53546,1.16513,0.000160938,0.000160938,0.000160938
77,754.16,0.31823,0.34553,0.9292,0.9474,0.91459,0.97478,0.82638,0.6222,0.50757,1.18203,0.00015475,0.00015475,0.00015475
78,769.724,0.30784,0.34015,0.93189,0.92998,0.92338,0.9852,0.81911,0.63273,0.46226,1.20883,0.000148563,0.000148563,0.000148563
79,786.458,0.31811,0.35031,0.94068,0.8461,0.95439,0.98934,0.83365,0.61754,0.45738,1.20507,0.000142375,0.000142375,0.000142375
80,801.673,0.29973,0.33675,0.93631,0.9369,0.91446,0.98656,0.84299,0.56844,0.44137,1.14801,0.000136187,0.000136187,0.000136187
81,815.666,0.29973,0.33407,0.92534,0.96565,0.90324,0.98358,0.84198,0.56134,0.46789,1.12714,0.00013,0.00013,0.00013
82,836.19,0.30449,0.34901,0.93766,0.91446,0.90729,0.98561,0.83719,0.57721,0.47772,1.15135,0.000123812,0.000123812,0.000123812
